QD_Type,Core_Composition,Surface_Charge,Hydrodynamic_Diameter,Oxidative_Stress_Marker,Apoptosis_Marker,Toxicity_Score
Graphene QD,C,-17.28855112220195,7.533361925506946,0.13555691438060624,0.04681636238378462,0.09118663838219543
Indium Phosphide QD,InP,-24.114042363688625,7.49476021778122,0.05464954125783002,0.14778304879464713,0.10121629502623858
Graphene QD,C,-25.913257140625074,4.223998658420964,0.1313334955539852,0.06926076214325388,0.10029712884861955
Indium Phosphide QD,InP,-17.840903677361048,4.4523051627204175,0.08154178820237053,0.08493606998998243,0.08323892909617647
Indium Phosphide QD,InP,-21.573474616361565,5.2670248887522515,0.2873430134816863,0.07165203773803287,0.17949752560985957
Graphene QD,C,-13.440417407945922,5.186140342640024,0.22885114621766528,0.06183625532162429,0.14534370076964478
Graphene QD,C,-23.33689740795794,6.699613011656274,0.22748641279311155,0.06756888188292423,0.14752764733801788
Indium Phosphide QD,InP,-11.710727408045173,6.096461050218625,0.09285887526527094,0.10513560316859015,0.09899723921693054
Cadmium Selenide QD,CdSe,-19.02937215457191,2.7864006062002002,0.12596574008850364,0.1764184851940715,0.15119211264128757
Indium Phosphide QD,InP,-13.112085318245764,2.524910542711521,0.22074630699181802,0.07623575794381658,0.1484910324678173
Graphene QD,C,-13.85121662977554,2.774974478153906,0.12973342578570574,0.10113714004406027,0.115435282914883
Silicon QD,Si,-25.36751988043663,7.000678486056315,0.26931724023543246,0.19854335957614777,0.23393029990579012
Graphene QD,C,-13.290314806235543,2.8750988193182803,0.08984288197158284,0.08613606289331883,0.08798947243245084
Indium Phosphide QD,InP,-19.926891474728073,3.662713091049734,0.20295131640061487,0.14725009850486334,0.1751007074527391
Indium Phosphide QD,InP,-21.316193692339155,2.733895864303973,0.058167675180050296,0.1221016510834567,0.0901346631317535
Graphene QD,C,-21.022500305298657,4.653619218598127,0.125822784786844,0.1926019143030734,0.15921234954495872
Graphene QD,C,-13.472469146306693,5.783501241434125,0.1831952569875347,0.08115640557729598,0.13217583128241533
Graphene QD,C,-20.73657173951927,6.084472845133284,0.2928812590130422,0.10626284184728432,0.19957205043016324
Graphene QD,C,-23.96733677192716,3.11723197840924,0.0953178773666923,0.06896879091825281,0.08214333414247255
Cadmium Selenide QD,CdSe,-10.093689294664024,3.16074484061183,0.0846990410036917,0.1846828166027012,0.13469092880319644
Silicon QD,Si,-14.35211662476663,3.426979221928227,0.1021973296598697,0.09886801439248409,0.1005326720261769
Graphene QD,C,-17.949445837111746,7.249610593696131,0.19544475285965152,0.14194892139580598,0.16869683712772876
Cadmium Selenide QD,CdSe,-20.401738195154696,5.273259498584827,0.08902574625594976,0.1837324728963879,0.13637910957616883
Cadmium Selenide QD,CdSe,-23.356712034989975,3.3653445877715003,0.07525848703166059,0.10192058794553607,0.08858953748859832
Cadmium Selenide QD,CdSe,-26.843951828009725,7.151041008826581,0.164893641072898,0.19902552342887903,0.1819595822508885
Cadmium Selenide QD,CdSe,-14.576042174288634,3.498626246868586,0.14940932890378322,0.05996849600619973,0.10468891245499148
Graphene QD,C,-28.09089574611005,6.574102750489137,0.29999580461010084,0.08113503137724146,0.19056541799367116
Silicon QD,Si,-21.239772131897386,7.228214334733067,0.18850523642647204,0.11516174225001216,0.1518334893382421
Indium Phosphide QD,InP,-21.793948246871928,5.8808430062907675,0.26834473092856614,0.1579452267388577,0.21314497883371192
Silicon QD,Si,-23.930031774776516,4.766361292153432,0.24302852089786503,0.11736701084733173,0.1801977658725984
Silicon QD,Si,-21.320479375801426,3.7526178961627323,0.18251065317355897,0.10071183075562329,0.14161124196459113
Cadmium Selenide QD,CdSe,-22.732747545387305,3.8000982839594406,0.14730405611264769,0.0639099314686281,0.1056069937906379
Indium Phosphide QD,InP,-23.852611227837706,7.579971654179925,0.07268025998904966,0.038153685530495376,0.05541697275977252
Silicon QD,Si,-25.23814707355708,6.6868904951212995,0.11960488454628852,0.16571491725840753,0.14265990090234804
Cadmium Selenide QD,CdSe,-26.66884580314333,3.623398986406325,0.19080608301394425,0.1438624270130946,0.16733425501351942
Silicon QD,Si,-20.087252502270005,2.515434324869367,0.1708031472127905,0.19745166880710688,0.1841274080099487
Indium Phosphide QD,InP,-26.245031342115027,3.782752877230055,0.11994844233248543,0.11553302656975953,0.11774073445112249
Silicon QD,Si,-14.551745745587695,2.617801195051743,0.216295171522847,0.08120790083567105,0.14875153617925901
Graphene QD,C,-29.431581969065025,3.9612503478927255,0.23874928852393806,0.06722343843516082,0.15298636347954944
Indium Phosphide QD,InP,-18.830212839863883,3.2542371233621283,0.2865795364512208,0.18403700853780375,0.23530827249451228
Indium Phosphide QD,InP,-15.937743842741007,5.1579856255977194,0.14234827589515775,0.06152554442149255,0.10193691015832515
Cadmium Selenide QD,CdSe,-22.839379877095727,5.539506475220257,0.15951737910142205,0.05739888003063147,0.10845812956602677
Silicon QD,Si,-13.49330630791189,5.356961037594534,0.17316495117457298,0.1420376470294422,0.1576012991020076
Cadmium Selenide QD,CdSe,-24.307338064191047,5.944541023053238,0.05516654199709471,0.1317980888544443,0.09348231542576951
Cadmium Selenide QD,CdSe,-26.80202048477414,6.598470868909079,0.07506639171658615,0.037398250744161386,0.056232321230373764
Graphene QD,C,-10.0824247885168,5.542145250796109,0.2073038402666686,0.026626118937175272,0.11696497960192193
Cadmium Selenide QD,CdSe,-23.035914217595668,4.314118296112597,0.21161479198287086,0.057561352848304465,0.13458807241558768
Silicon QD,Si,-16.388419138378904,7.937714268872254,0.22365453101881366,0.0705662470910457,0.14711038905492968
Cadmium Selenide QD,CdSe,-13.242352117166945,6.6370713034923705,0.1638501854494649,0.17238624940807776,0.1681182174287713
Indium Phosphide QD,InP,-28.618607781619826,5.898045908932525,0.2968556676357738,0.08428361942551715,0.19056964353064548
Indium Phosphide QD,InP,-13.092751386377014,2.697700261796014,0.20138627447655127,0.11954349851500345,0.16046488649577736
Graphene QD,C,-18.588806082454514,7.269522128531778,0.27053103553703894,0.09426275014431278,0.18239689284067587
Silicon QD,Si,-10.476145924132965,3.91646219398876,0.10488452004641029,0.12714601386562097,0.11601526695601563
Cadmium Selenide QD,CdSe,-19.744673893019606,3.052962690246466,0.054761395519688325,0.0901291315701804,0.07244526354493436
Indium Phosphide QD,InP,-10.617710067629794,6.6630269754847715,0.06502573812052713,0.17846171120734128,0.12174372466393421
Indium Phosphide QD,InP,-16.74557480462801,6.712402146567531,0.13749946545126834,0.0839706843221153,0.11073507488669182
Indium Phosphide QD,InP,-23.154440024833516,5.606797734829792,0.25806856356710506,0.10559777076585429,0.18183316716647968
Silicon QD,Si,-12.962423291718931,5.747863024838443,0.2336747546437597,0.15610028689282376,0.19488752076829174
Graphene QD,C,-19.95402813159702,7.842127240058446,0.2601174099876822,0.14479480031390554,0.20245610515079387
Indium Phosphide QD,InP,-28.048174467387618,6.316714626611969,0.19225484155555195,0.025184399419498665,0.1087196204875253
Cadmium Selenide QD,CdSe,-20.158331872597923,5.441046486044638,0.1198833693455278,0.16155896396705463,0.14072116665629122
Cadmium Selenide QD,CdSe,-14.63331512928546,7.482364834797756,0.11778823828966893,0.10105175859703037,0.10941999844334965
Indium Phosphide QD,InP,-22.442868488759366,6.387076209299046,0.09155115484969449,0.0814995216743458,0.08652533826202015
Indium Phosphide QD,InP,-15.84440229984288,5.612329134204526,0.0741397986680599,0.06068679404075983,0.06741329635440987
Silicon QD,Si,-24.420144583129854,6.3512612171949865,0.058996659085401096,0.0808339131056952,0.06991528609554815
Indium Phosphide QD,InP,-19.413572711158643,6.171711658910191,0.24372916959817625,0.16920421969173705,0.20646669464495665
Graphene QD,C,-21.45577293029494,6.02826632331156,0.06559747005315307,0.12562208327739013,0.0956097766652716
Silicon QD,Si,-20.812805608096507,3.978816818152008,0.20323202474539104,0.1516094354590846,0.1774207301022378
Graphene QD,C,-23.311712684230205,4.930912364886579,0.12082191024244641,0.17171392260406168,0.14626791642325404
Cadmium Selenide QD,CdSe,-21.77621784486051,3.7673791108952694,0.12284608999560877,0.07095970148754743,0.0969028957415781
Cadmium Selenide QD,CdSe,-27.970501352625885,2.9328118435845596,0.11970835297351527,0.17190231106326592,0.1458053320183906
Cadmium Selenide QD,CdSe,-11.421055775155871,5.506796218313833,0.1875810458567746,0.17097136853547965,0.17927620719612714
Cadmium Selenide QD,CdSe,-13.687286689059373,6.368997721563007,0.2881081843287641,0.0709964675896954,0.17955232595922976
Indium Phosphide QD,InP,-24.27204508448495,7.443161939825536,0.15023557198215248,0.03378363283378041,0.09200960240796645
Graphene QD,C,-14.683112049728337,3.0801233495976588,0.13993783921391295,0.14367386394095086,0.14180585157743192
Indium Phosphide QD,InP,-24.459319451079413,4.034054268729411,0.1359910748028127,0.06374840927741947,0.09986974204011609
Graphene QD,C,-19.27760259378922,5.8206527152067915,0.2837430758984408,0.07113445799232941,0.1774387669453851
Graphene QD,C,-18.045560383649203,7.777137740714945,0.06260149429095703,0.07741886038705499,0.07001017733900601
Cadmium Selenide QD,CdSe,-12.183236374079712,4.272246315084455,0.05820993772868137,0.028492289127247623,0.043351113427964494
Silicon QD,Si,-17.335860851808526,6.190501990268667,0.2809635025058892,0.12583279784780438,0.2033981501768468
Silicon QD,Si,-25.979493698448394,4.838876039995256,0.2723526077583399,0.15938036868586675,0.21586648822210333
Indium Phosphide QD,InP,-23.583001126578864,3.782314422173603,0.08116388147937452,0.09969805255200635,0.09043096701569044
Indium Phosphide QD,InP,-14.3805518488986,3.4920717440721383,0.1215144198174604,0.030377640693858947,0.07594603025565967
